ORDERNUMBER,QUANTITYORDERED,PRICEEACH,STATUS,PRODUCTLINE,PRODUCTCODE,COUNTRY
10304,47,100,Shipped,Classic Cars,S10_1949,France
10312,48,100,Shipped,Classic Cars,S10_1949,USA
10322,40,100,Shipped,Classic Cars,S10_1949,USA
10333,26,100,Shipped,Classic Cars,S10_1949,USA
10347,30,100,Shipped,Classic Cars,S10_1949,Australia
10357,32,100,Shipped,Classic Cars,S10_1949,USA
10369,41,100,Shipped,Classic Cars,S10_1949,USA
10381,36,100,Shipped,Classic Cars,S10_1949,USA
10391,24,100,Shipped,Classic Cars,S10_1949,Australia
10411,23,100,Shipped,Classic Cars,S10_1949,Canada
10424,50,100,In Process,Classic Cars,S10_1949,Spain
10107,39,99.91,Shipped,Motorcycles,S10_2016,USA
10120,29,96.34,Shipped,Motorcycles,S10_2016,Australia
10134,27,100,Shipped,Motorcycles,S10_2016,France
10145,37,100,Shipped,Motorcycles,S10_2016,USA
10159,37,100,Shipped,Motorcycles,S10_2016,USA
10168,27,100,Shipped,Motorcycles,S10_2016,USA
10180,42,100,Shipped,Motorcycles,S10_2016,France
10188,38,96.34,Shipped,Motorcycles,S10_2016,Norway
10201,24,100,Shipped,Motorcycles,S10_2016,USA
10210,23,100,Shipped,Motorcycles,S10_2016,Japan
10223,47,100,Shipped,Motorcycles,S10_2016,Australia
10236,22,100,Shipped,Motorcycles,S10_2016,USA
10251,44,100,Shipped,Motorcycles,S10_2016,USA
10263,40,100,Shipped,Motorcycles,S10_2016,USA
10275,22,100,Shipped,Motorcycles,S10_2016,France
10285,47,100,Shipped,Motorcycles,S10_2016,USA
10298,39,96.34,Shipped,Motorcycles,S10_2016,France
10308,34,100,Shipped,Motorcycles,S10_2016,USA
10318,45,100,Shipped,Motorcycles,S10_2016,USA
10329,20,100,Shipped,Motorcycles,S10_2016,USA
10339,40,68.92,Shipped,Motorcycles,S10_2016,Japan
10361,26,51.15,Shipped,Motorcycles,S10_2016,Australia
10374,39,100,Shipped,Motorcycles,S10_2016,Australia
10388,50,44.51,Shipped,Motorcycles,S10_2016,USA
10402,45,100,Shipped,Motorcycles,S10_2016,France
10417,45,100,Disputed,Motorcycles,S10_2016,Spain
10107,27,100,Shipped,Motorcycles,S10_4698,USA
10120,46,100,Shipped,Motorcycles,S10_4698,Australia
10134,31,100,Shipped,Motorcycles,S10_4698,France
10145,33,100,Shipped,Motorcycles,S10_4698,USA
10159,22,100,Shipped,Motorcycles,S10_4698,USA
10168,20,100,Shipped,Motorcycles,S10_4698,USA
10180,41,100,Shipped,Motorcycles,S10_4698,France
10188,45,100,Shipped,Motorcycles,S10_4698,Norway
10201,49,100,Shipped,Motorcycles,S10_4698,USA
10210,34,100,Shipped,Motorcycles,S10_4698,Japan
10223,49,100,Shipped,Motorcycles,S10_4698,Australia
10237,39,100,Shipped,Motorcycles,S10_4698,USA
10251,43,100,Shipped,Motorcycles,S10_4698,USA
10263,41,100,Shipped,Motorcycles,S10_4698,USA
10275,36,100,Shipped,Motorcycles,S10_4698,France
10285,27,100,Shipped,Motorcycles,S10_4698,USA
10299,29,100,Shipped,Motorcycles,S10_4698,Finland
10308,20,100,Shipped,Motorcycles,S10_4698,USA
10318,37,100,Shipped,Motorcycles,S10_4698,USA
10329,26,100,Shipped,Motorcycles,S10_4698,USA
10339,39,76.67,Shipped,Motorcycles,S10_4698,Japan
10362,22,100,Shipped,Motorcycles,S10_4698,USA
10374,22,100,Shipped,Motorcycles,S10_4698,Australia
10388,21,86.77,Shipped,Motorcycles,S10_4698,USA
10403,66,100,Shipped,Motorcycles,S10_4698,UK
10417,56,100,Disputed,Motorcycles,S10_4698,Spain
10105,50,100,Shipped,Classic Cars,S10_4757,Denmark
10119,46,100,Shipped,Classic Cars,S10_4757,Austria
10129,33,100,Shipped,Classic Cars,S10_4757,UK
10143,49,100,Shipped,Classic Cars,S10_4757,USA
10155,32,100,Shipped,Classic Cars,S10_4757,Finland
10167,44,100,Cancelled,Classic Cars,S10_4757,Sweden
10178,24,100,Shipped,Classic Cars,S10_4757,France
10186,26,100,Shipped,Classic Cars,S10_4757,UK
10197,45,100,Shipped,Classic Cars,S10_4757,Spain
10209,39,100,Shipped,Classic Cars,S10_4757,USA
10222,49,100,Shipped,Classic Cars,S10_4757,USA
10248,20,100,Cancelled,Classic Cars,S10_4757,USA
10261,27,100,Shipped,Classic Cars,S10_4757,Canada
10273,30,100,Shipped,Classic Cars,S10_4757,Belgium
10283,25,100,Shipped,Classic Cars,S10_4757,Canada
10295,24,100,Shipped,Classic Cars,S10_4757,USA
10307,22,100,Shipped,Classic Cars,S10_4757,USA
10316,33,100,Shipped,Classic Cars,S10_4757,UK
10325,47,64.93,Shipped,Classic Cars,S10_4757,Norway
10337,25,48.05,Shipped,Classic Cars,S10_4757,USA
10350,26,75.47,Shipped,Classic Cars,S10_4757,Spain
10359,48,54.68,Shipped,Classic Cars,S10_4757,France
10373,39,100,Shipped,Classic Cars,S10_4757,Finland
10384,34,100,Shipped,Classic Cars,S10_4757,USA
10395,32,100,Shipped,Classic Cars,S10_4757,France
10400,64,100,Shipped,Classic Cars,S10_4757,USA
10414,19,100,On Hold,Classic Cars,S10_4757,USA
10103,42,100,Shipped,Classic Cars,S10_4962,Norway
10114,31,100,Shipped,Classic Cars,S10_4962,France
10126,22,100,Shipped,Classic Cars,S10_4962,Spain
10140,26,100,Shipped,Classic Cars,S10_4962,USA
10150,20,100,Shipped,Classic Cars,S10_4962,Singapore
10164,21,100,Resolved,Classic Cars,S10_4962,Austria
10175,33,100,Shipped,Classic Cars,S10_4962,UK
10183,28,100,Shipped,Classic Cars,S10_4962,USA
10194,26,100,Shipped,Classic Cars,S10_4962,France
10207,31,100,Shipped,Classic Cars,S10_4962,USA
10217,48,100,Shipped,Classic Cars,S10_4962,Singapore
10229,50,100,Shipped,Classic Cars,S10_4962,USA
10245,28,100,Shipped,Classic Cars,S10_4962,USA
10259,26,100,Shipped,Classic Cars,S10_4962,Singapore
10270,32,100,Shipped,Classic Cars,S10_4962,Australia
10281,44,100,Shipped,Classic Cars,S10_4962,USA
10291,30,100,Shipped,Classic Cars,S10_4962,Sweden
10305,38,100,Shipped,Classic Cars,S10_4962,USA
10313,40,100,Shipped,Classic Cars,S10_4962,Canada
10322,46,61.99,Shipped,Classic Cars,S10_4962,USA
10334,26,100,On Hold,Classic Cars,S10_4962,Sweden
10347,27,100,Shipped,Classic Cars,S10_4962,Australia
10357,43,100,Shipped,Classic Cars,S10_4962,USA
10370,35,65.63,Shipped,Classic Cars,S10_4962,Australia
10381,37,100,Shipped,Classic Cars,S10_4962,USA
10391,37,46.9,Shipped,Classic Cars,S10_4962,Australia
10411,27,100,Shipped,Classic Cars,S10_4962,Canada
10425,38,100,In Process,Classic Cars,S10_4962,France
10108,33,100,Shipped,Classic Cars,S12_1099,Philippines
10122,42,100,Shipped,Classic Cars,S12_1099,France
10135,42,100,Shipped,Classic Cars,S12_1099,USA
10147,48,100,Shipped,Classic Cars,S12_1099,USA
10159,41,100,Shipped,Classic Cars,S12_1099,USA
10169,30,100,Shipped,Classic Cars,S12_1099,Australia
10181,27,100,Shipped,Classic Cars,S12_1099,Norway
10191,21,100,Shipped,Classic Cars,S12_1099,Germany
10203,20,100,Shipped,Classic Cars,S12_1099,Spain
10211,41,100,Shipped,Classic Cars,S12_1099,France
10225,27,100,Shipped,Classic Cars,S12_1099,Switzerland
10238,28,100,Shipped,Classic Cars,S12_1099,Denmark
10253,24,100,Cancelled,Classic Cars,S12_1099,UK
10266,44,100,Shipped,Classic Cars,S12_1099,Italy
10276,50,100,Shipped,Classic Cars,S12_1099,USA
10287,21,100,Shipped,Classic Cars,S12_1099,Switzerland
10300,33,100,Shipped,Classic Cars,S12_1099,Germany
10310,33,100,Shipped,Classic Cars,S12_1099,Germany
10320,31,100,Shipped,Classic Cars,S12_1099,Sweden
10329,41,71.47,Shipped,Classic Cars,S12_1099,USA
10341,45,79.65,Shipped,Classic Cars,S12_1099,Austria
10363,33,85.39,Shipped,Classic Cars,S12_1099,Finland
10375,45,76,Shipped,Classic Cars,S12_1099,France
10389,26,99.04,Shipped,Classic Cars,S12_1099,Sweden
10419,12,100,Shipped,Classic Cars,S12_1099,Austria
10105,41,100,Shipped,Classic Cars,S12_1108,Denmark
10117,33,100,Shipped,Classic Cars,S12_1108,Singapore
10127,46,100,Shipped,Classic Cars,S12_1108,USA
10142,33,100,Shipped,Classic Cars,S12_1108,USA
10153,20,100,Shipped,Classic Cars,S12_1108,Spain
10165,44,100,Shipped,Classic Cars,S12_1108,Singapore
10176,33,100,Shipped,Classic Cars,S12_1108,Italy
10185,21,100,Shipped,Classic Cars,S12_1108,USA
10196,47,100,Shipped,Classic Cars,S12_1108,USA
10208,46,100,Shipped,Classic Cars,S12_1108,France
10220,32,100,Shipped,Classic Cars,S12_1108,Ireland
10231,42,100,Shipped,Classic Cars,S12_1108,Spain
10247,44,100,Shipped,Classic Cars,S12_1108,Finland
10272,35,100,Shipped,Classic Cars,S12_1108,USA
10282,41,100,Shipped,Classic Cars,S12_1108,USA
10293,46,100,Shipped,Classic Cars,S12_1108,Italy
10306,31,100,Shipped,Classic Cars,S12_1108,UK
10314,38,100,Shipped,Classic Cars,S12_1108,Denmark
10325,42,64,Shipped,Classic Cars,S12_1108,Norway
10336,33,57.22,Shipped,Classic Cars,S12_1108,France
10348,48,52.36,Shipped,Classic Cars,S12_1108,Spain
10359,42,100,Shipped,Classic Cars,S12_1108,France
10371,32,100,Shipped,Classic Cars,S12_1108,USA
10382,34,100,Shipped,Classic Cars,S12_1108,USA
10395,33,69.12,Shipped,Classic Cars,S12_1108,France
10413,36,100,Shipped,Classic Cars,S12_1108,USA
10103,27,100,Shipped,Trucks and Buses,S12_1666,Norway
10113,21,100,Shipped,Trucks and Buses,S12_1666,USA
10126,21,100,Shipped,Trucks and Buses,S12_1666,Spain
10140,38,100,Shipped,Trucks and Buses,S12_1666,USA
10150,30,100,Shipped,Trucks and Buses,S12_1666,Singapore
10164,49,100,Resolved,Trucks and Buses,S12_1666,Austria
10174,43,100,Shipped,Trucks and Buses,S12_1666,Australia
10183,41,100,Shipped,Trucks and Buses,S12_1666,USA
10194,38,100,Shipped,Trucks and Buses,S12_1666,France
10206,28,100,Shipped,Trucks and Buses,S12_1666,Canada
10216,43,100,Shipped,Trucks and Buses,S12_1666,France
10229,25,100,Shipped,Trucks and Buses,S12_1666,USA
10245,38,100,Shipped,Trucks and Buses,S12_1666,USA
10258,41,100,Shipped,Trucks and Buses,S12_1666,Japan
10270,28,100,Shipped,Trucks and Buses,S12_1666,Australia
10281,25,100,Shipped,Trucks and Buses,S12_1666,USA
10291,41,100,Shipped,Trucks and Buses,S12_1666,Sweden
10304,39,100,Shipped,Trucks and Buses,S12_1666,France
10313,21,100,Shipped,Trucks and Buses,S12_1666,Canada
10322,27,100,Shipped,Trucks and Buses,S12_1666,USA
10333,33,99.21,Shipped,Trucks and Buses,S12_1666,USA
10347,29,100,Shipped,Trucks and Buses,S12_1666,Australia
10357,49,100,Shipped,Trucks and Buses,S12_1666,USA
10370,49,100,Shipped,Trucks and Buses,S12_1666,Australia
10381,20,100,Shipped,Trucks and Buses,S12_1666,USA
10391,39,63.2,Shipped,Trucks and Buses,S12_1666,Australia
10411,40,100,Shipped,Trucks and Buses,S12_1666,Canada
10424,49,100,In Process,Trucks and Buses,S12_1666,Spain
10107,21,100,Shipped,Motorcycles,S12_2823,USA
10121,50,100,Shipped,Motorcycles,S12_2823,France
10134,20,100,Shipped,Motorcycles,S12_2823,France
10145,49,100,Shipped,Motorcycles,S12_2823,USA
10159,38,100,Shipped,Motorcycles,S12_2823,USA
10169,35,100,Shipped,Motorcycles,S12_2823,Australia
10180,40,100,Shipped,Motorcycles,S12_2823,France
10189,28,100,Shipped,Motorcycles,S12_2823,USA
10201,25,100,Shipped,Motorcycles,S12_2823,USA
10211,36,100,Shipped,Motorcycles,S12_2823,France
10224,43,100,Shipped,Motorcycles,S12_2823,France
10237,32,100,Shipped,Motorcycles,S12_2823,USA
10251,46,100,Shipped,Motorcycles,S12_2823,USA
10263,48,100,Shipped,Motorcycles,S12_2823,USA
10276,43,100,Shipped,Motorcycles,S12_2823,USA
10285,49,100,Shipped,Motorcycles,S12_2823,USA
10299,24,100,Shipped,Motorcycles,S12_2823,Finland
10309,26,100,Shipped,Motorcycles,S12_2823,Norway
10319,30,100,Shipped,Motorcycles,S12_2823,USA
10329,24,100,Shipped,Motorcycles,S12_2823,USA
10341,55,100,Shipped,Motorcycles,S12_2823,Austria
10362,22,100,Shipped,Motorcycles,S12_2823,USA
10375,49,78.92,Shipped,Motorcycles,S12_2823,France
10388,44,100,Shipped,Motorcycles,S12_2823,USA
10403,66,100,Shipped,Motorcycles,S12_2823,UK
10417,21,100,Disputed,Motorcycles,S12_2823,Spain
10104,34,100,Shipped,Classic Cars,S12_3148,Spain
10117,43,100,Shipped,Classic Cars,S12_3148,Singapore
10127,46,100,Shipped,Classic Cars,S12_3148,USA
10142,33,100,Shipped,Classic Cars,S12_3148,USA
10153,42,100,Shipped,Classic Cars,S12_3148,Spain
10165,34,100,Shipped,Classic Cars,S12_3148,Singapore
10176,47,100,Shipped,Classic Cars,S12_3148,Italy
10185,33,100,Shipped,Classic Cars,S12_3148,USA
10196,24,100,Shipped,Classic Cars,S12_3148,USA
10208,26,100,Shipped,Classic Cars,S12_3148,France
10220,30,100,Shipped,Classic Cars,S12_3148,Ireland
10230,43,100,Shipped,Classic Cars,S12_3148,Germany
10247,25,100,Shipped,Classic Cars,S12_3148,Finland
10272,27,100,Shipped,Classic Cars,S12_3148,USA
10282,27,100,Shipped,Classic Cars,S12_3148,USA
10293,24,100,Shipped,Classic Cars,S12_3148,Italy
10306,34,100,Shipped,Classic Cars,S12_3148,UK
10314,46,100,Shipped,Classic Cars,S12_3148,Denmark
10324,27,54.33,Shipped,Classic Cars,S12_3148,USA
10336,33,100,Shipped,Classic Cars,S12_3148,France
10348,47,100,Shipped,Classic Cars,S12_3148,Spain
10358,49,55.34,Shipped,Classic Cars,S12_3148,Spain
10372,40,100,Shipped,Classic Cars,S12_3148,Japan
10382,37,100,Shipped,Classic Cars,S12_3148,USA
10413,47,100,Shipped,Classic Cars,S12_3148,USA
10108,45,100,Shipped,Classic Cars,S12_3380,Philippines
10122,37,99.82,Shipped,Classic Cars,S12_3380,France
10135,48,100,Shipped,Classic Cars,S12_3380,USA
10147,31,100,Shipped,Classic Cars,S12_3380,USA
10160,46,100,Shipped,Classic Cars,S12_3380,USA
10170,47,100,Shipped,Classic Cars,S12_3380,Austria
10181,28,100,Shipped,Classic Cars,S12_3380,Norway
10191,40,100,Shipped,Classic Cars,S12_3380,Germany
10203,20,100,Shipped,Classic Cars,S12_3380,Spain
10212,39,100,Shipped,Classic Cars,S12_3380,Spain
10225,25,99.82,Shipped,Classic Cars,S12_3380,Switzerland
10238,29,100,Shipped,Classic Cars,S12_3380,Denmark
10253,22,100,Cancelled,Classic Cars,S12_3380,UK
10266,22,100,Shipped,Classic Cars,S12_3380,Italy
10276,47,100,Shipped,Classic Cars,S12_3380,USA
10287,45,100,Shipped,Classic Cars,S12_3380,Switzerland
10300,29,100,Shipped,Classic Cars,S12_3380,Germany
10310,24,100,Shipped,Classic Cars,S12_3380,Germany
10320,35,100,Shipped,Classic Cars,S12_3380,Sweden
10329,46,83.63,Shipped,Classic Cars,S12_3380,USA
10341,44,95.93,Shipped,Classic Cars,S12_3380,Austria
10363,34,96.73,Shipped,Classic Cars,S12_3380,Finland
10376,35,100,Shipped,Classic Cars,S12_3380,USA
10389,25,72.38,Shipped,Classic Cars,S12_3380,Sweden
10419,10,100,Shipped,Classic Cars,S12_3380,Austria
10105,29,100,Shipped,Classic Cars,S12_3891,Denmark
10117,39,100,Shipped,Classic Cars,S12_3891,Singapore
10127,42,100,Shipped,Classic Cars,S12_3891,USA
10142,46,100,Shipped,Classic Cars,S12_3891,USA
10153,49,100,Shipped,Classic Cars,S12_3891,Spain
10165,27,100,Shipped,Classic Cars,S12_3891,Singapore
10176,50,100,Shipped,Classic Cars,S12_3891,Italy
10185,43,100,Shipped,Classic Cars,S12_3891,USA
10196,38,100,Shipped,Classic Cars,S12_3891,USA
10208,20,100,Shipped,Classic Cars,S12_3891,France
10220,27,100,Shipped,Classic Cars,S12_3891,Ireland
10231,49,100,Shipped,Classic Cars,S12_3891,Spain
10247,27,100,Shipped,Classic Cars,S12_3891,Finland
10272,39,100,Shipped,Classic Cars,S12_3891,USA
10282,24,100,Shipped,Classic Cars,S12_3891,USA
10293,45,100,Shipped,Classic Cars,S12_3891,Italy
10306,20,100,Shipped,Classic Cars,S12_3891,UK
10314,36,100,Shipped,Classic Cars,S12_3891,Denmark
10325,24,100,Shipped,Classic Cars,S12_3891,Norway
10336,49,63.38,Shipped,Classic Cars,S12_3891,France
10349,26,100,Shipped,Classic Cars,S12_3891,USA
10359,49,62.09,Shipped,Classic Cars,S12_3891,France
10372,34,100,Shipped,Classic Cars,S12_3891,Japan
10382,34,95.35,Shipped,Classic Cars,S12_3891,USA
10396,33,100,Shipped,Classic Cars,S12_3891,USA
10413,22,100,Shipped,Classic Cars,S12_3891,USA
10108,39,89.38,Shipped,Classic Cars,S12_3990,Philippines
10122,32,63.84,Shipped,Classic Cars,S12_3990,France
10135,24,75.01,Shipped,Classic Cars,S12_3990,USA
10147,21,63.84,Shipped,Classic Cars,S12_3990,USA
10159,24,73.42,Shipped,Classic Cars,S12_3990,USA
10169,36,63.84,Shipped,Classic Cars,S12_3990,Australia
10181,20,81.4,Shipped,Classic Cars,S12_3990,Norway
10191,30,64.64,Shipped,Classic Cars,S12_3990,Germany
10203,44,82.99,Shipped,Classic Cars,S12_3990,Spain
10211,28,92.57,Shipped,Classic Cars,S12_3990,France
10225,37,77.41,Shipped,Classic Cars,S12_3990,Switzerland
10238,20,74.21,Shipped,Classic Cars,S12_3990,Denmark
10253,25,90.17,Cancelled,Classic Cars,S12_3990,UK
10266,35,76.61,Shipped,Classic Cars,S12_3990,Italy
10276,38,83.79,Shipped,Classic Cars,S12_3990,USA
10287,41,69.43,Shipped,Classic Cars,S12_3990,Switzerland
10300,22,76.61,Shipped,Classic Cars,S12_3990,Germany
10310,49,81.4,Shipped,Classic Cars,S12_3990,Germany
10320,38,73.42,Shipped,Classic Cars,S12_3990,Sweden
10329,33,100,Shipped,Classic Cars,S12_3990,USA
10341,36,93.56,Shipped,Classic Cars,S12_3990,Austria
10363,34,81.62,Shipped,Classic Cars,S12_3990,Finland
10377,24,67.83,Shipped,Classic Cars,S12_3990,Finland
10389,36,70.26,Shipped,Classic Cars,S12_3990,Sweden
10419,34,90.17,Shipped,Classic Cars,S12_3990,Austria
10104,41,100,Shipped,Trucks and Buses,S12_4473,Spain
10115,46,100,Shipped,Trucks and Buses,S12_4473,USA
10127,24,100,Shipped,Trucks and Buses,S12_4473,USA
10141,21,100,Shipped,Trucks and Buses,S12_4473,Finland
10151,24,100,Shipped,Trucks and Buses,S12_4473,Finland
10165,48,100,Shipped,Trucks and Buses,S12_4473,Singapore
10175,26,100,Shipped,Trucks and Buses,S12_4473,UK
10184,37,100,Shipped,Trucks and Buses,S12_4473,Spain
10195,49,100,Shipped,Trucks and Buses,S12_4473,USA
10207,34,99.54,Shipped,Trucks and Buses,S12_4473,USA
10219,48,100,Shipped,Trucks and Buses,S12_4473,USA
10229,36,100,Shipped,Trucks and Buses,S12_4473,USA
10246,46,100,Shipped,Trucks and Buses,S12_4473,Spain
10259,46,100,Shipped,Trucks and Buses,S12_4473,Singapore
10271,31,97.17,Shipped,Trucks and Buses,S12_4473,USA
10281,41,100,Shipped,Trucks and Buses,S12_4473,USA
10292,21,100,Shipped,Trucks and Buses,S12_4473,USA
10305,38,100,Shipped,Trucks and Buses,S12_4473,USA
10314,45,100,Shipped,Trucks and Buses,S12_4473,Denmark
10324,26,58.38,Shipped,Trucks and Buses,S12_4473,USA
10336,38,100,Shipped,Trucks and Buses,S12_4473,France
10349,48,100,Shipped,Trucks and Buses,S12_4473,USA
10358,42,64.16,Shipped,Trucks and Buses,S12_4473,Spain
10371,49,35.71,Shipped,Trucks and Buses,S12_4473,USA
10382,32,66.58,Shipped,Trucks and Buses,S12_4473,USA
10412,54,100,Shipped,Trucks and Buses,S12_4473,Spain
10425,33,100,In Process,Trucks and Buses,S12_4473,France
10108,36,100,Shipped,Classic Cars,S12_4675,Philippines
10122,20,100,Shipped,Classic Cars,S12_4675,France
10135,29,97.89,Shipped,Classic Cars,S12_4675,USA
10147,33,97.89,Shipped,Classic Cars,S12_4675,USA
10160,50,100,Shipped,Classic Cars,S12_4675,USA
10170,41,100,Shipped,Classic Cars,S12_4675,Austria
10181,36,100,Shipped,Classic Cars,S12_4675,Norway
10192,27,100,Shipped,Classic Cars,S12_4675,USA
10203,47,100,Shipped,Classic Cars,S12_4675,Spain
10212,33,100,Shipped,Classic Cars,S12_4675,Spain
10225,21,100,Shipped,Classic Cars,S12_4675,Switzerland
10239,21,93.28,Shipped,Classic Cars,S12_4675,Finland
10253,41,100,Cancelled,Classic Cars,S12_4675,UK
10266,40,100,Shipped,Classic Cars,S12_4675,Italy
10277,28,100,Shipped,Classic Cars,S12_4675,Singapore
10287,23,100,Shipped,Classic Cars,S12_4675,Switzerland
10300,23,100,Shipped,Classic Cars,S12_4675,Germany
10310,25,100,Shipped,Classic Cars,S12_4675,Germany
10321,24,100,Shipped,Classic Cars,S12_4675,USA
10329,39,64.74,Shipped,Classic Cars,S12_4675,USA
10341,55,75.2,Shipped,Classic Cars,S12_4675,Austria
10363,46,88.45,Shipped,Classic Cars,S12_4675,Finland
10377,50,100,Shipped,Classic Cars,S12_4675,Finland
10389,47,100,Shipped,Classic Cars,S12_4675,Sweden
10405,97,93.28,Shipped,Classic Cars,S12_4675,France
10419,32,100,Shipped,Classic Cars,S12_4675,Austria
10103,35,100,Shipped,Trucks and Buses,S18_1097,Norway
10113,49,100,Shipped,Trucks and Buses,S18_1097,USA
10126,38,100,Shipped,Trucks and Buses,S18_1097,Spain
10140,32,100,Shipped,Trucks and Buses,S18_1097,USA
10150,34,100,Shipped,Trucks and Buses,S18_1097,Singapore
10164,36,99.17,Resolved,Trucks and Buses,S18_1097,Austria
10174,48,93.34,Shipped,Trucks and Buses,S18_1097,Australia
10183,21,96.84,Shipped,Trucks and Buses,S18_1097,USA
10194,21,93.34,Shipped,Trucks and Buses,S18_1097,France
10206,34,100,Shipped,Trucks and Buses,S18_1097,Canada
10215,46,100,Shipped,Trucks and Buses,S18_1097,USA
10228,32,100,Shipped,Trucks and Buses,S18_1097,USA
10245,29,100,Shipped,Trucks and Buses,S18_1097,USA
10258,41,100,Shipped,Trucks and Buses,S18_1097,Japan
10270,43,96.84,Shipped,Trucks and Buses,S18_1097,Australia
10280,24,100,Shipped,Trucks and Buses,S18_1097,Italy
10291,41,100,Shipped,Trucks and Buses,S18_1097,Sweden
10304,46,98,Shipped,Trucks and Buses,S18_1097,France
10312,32,100,Shipped,Trucks and Buses,S18_1097,USA
10322,22,100,Shipped,Trucks and Buses,S18_1097,USA
10333,29,40.25,Shipped,Trucks and Buses,S18_1097,USA
10347,42,49.6,Shipped,Trucks and Buses,S18_1097,Australia
10357,39,98,Shipped,Trucks and Buses,S18_1097,USA
10370,27,100,Shipped,Trucks and Buses,S18_1097,Australia
10381,48,98,Shipped,Trucks and Buses,S18_1097,USA
10391,29,85.1,Shipped,Trucks and Buses,S18_1097,Australia
10411,27,100,Shipped,Trucks and Buses,S18_1097,Canada
10424,54,100,In Process,Trucks and Buses,S18_1097,Spain
10109,26,100,Shipped,Classic Cars,S18_1129,USA
10122,34,100,Shipped,Classic Cars,S18_1129,France
10136,25,100,Shipped,Classic Cars,S18_1129,France
10148,23,100,Shipped,Classic Cars,S18_1129,Australia
10161,28,100,Shipped,Classic Cars,S18_1129,Denmark
10171,35,100,Shipped,Classic Cars,S18_1129,Canada
10181,44,100,Shipped,Classic Cars,S18_1129,Norway
10192,22,100,Shipped,Classic Cars,S18_1129,USA
10204,42,100,Shipped,Classic Cars,S18_1129,USA
10212,29,100,Shipped,Classic Cars,S18_1129,Spain
10225,32,100,Shipped,Classic Cars,S18_1129,Switzerland
10240,41,100,Shipped,Classic Cars,S18_1129,Japan
10253,26,100,Cancelled,Classic Cars,S18_1129,UK
10266,21,100,Shipped,Classic Cars,S18_1129,Italy
10278,34,100,Shipped,Classic Cars,S18_1129,USA
10287,41,100,Shipped,Classic Cars,S18_1129,Switzerland
10301,37,100,Shipped,Classic Cars,S18_1129,Norway
10310,37,100,Shipped,Classic Cars,S18_1129,Germany
10321,41,100,Shipped,Classic Cars,S18_1129,USA
10331,46,100,Shipped,Classic Cars,S18_1129,USA
10342,40,100,Shipped,Classic Cars,S18_1129,Australia
10356,43,97.6,Shipped,Classic Cars,S18_1129,France
10365,30,87.06,Shipped,Classic Cars,S18_1129,USA
10377,35,100,Shipped,Classic Cars,S18_1129,Finland
10390,36,,Shipped,Classic Cars,S18_1129,USA
10406,61,100,Disputed,Classic Cars,S18_1129,Denmark
